step,action,reward,avatar_pos_before,avatar_pos_after,reward_triggered,entity_triggered,meaningful,winner
110,3,0.0,,,False,False,False,
111,3,0.0,,,False,False,False,
112,4,0.0,,,False,False,False,
113,5,0.0,,,False,False,False,
114,2,0.0,,,False,False,False,
115,4,0.0,,,False,False,False,
116,5,0.0,,,False,True,True,
117,5,0.0,,,False,False,False,
118,3,0.0,,,False,True,True,
119,4,0.0,,,False,False,False,
120,4,0.0,,,False,False,False,
121,5,0.0,,,False,False,False,
122,5,0.0,,,False,False,False,
123,3,0.0,,,False,False,False,
124,3,0.0,,,False,False,False,
125,1,0.0,,,False,True,True,
126,1,0.0,,,False,False,False,
127,3,0.0,,,False,False,False,
128,0,0.0,,,False,False,False,
129,4,0.0,,,False,False,False,
130,1,0.0,,,False,False,False,
131,1,0.0,,,False,True,True,
132,4,0.0,,,False,False,False,
133,2,0.0,,,False,False,False,
134,1,0.0,,,False,True,True,
135,2,0.0,,,False,True,True,
136,3,0.0,,,False,False,False,
137,5,0.0,,,False,False,False,
138,3,0.0,,,False,False,False,
139,3,0.0,,,False,True,True,
140,2,0.0,,,False,True,True,
141,2,0.0,,,False,False,False,
142,1,0.0,,,False,True,True,
143,1,0.0,,,False,False,False,
144,2,0.0,,,False,True,True,
145,3,0.0,,,False,False,False,
146,1,0.0,,,False,False,False,
147,3,0.0,,,False,True,True,
148,3,0.0,,,False,True,True,
149,4,0.0,,,False,False,False,
150,4,0.0,,,False,False,False,
151,4,0.0,,,False,False,False,
152,4,0.0,,,False,False,False,
153,1,0.0,,,False,True,True,
154,4,0.0,,,False,False,False,
155,4,0.0,,,False,False,False,
156,4,0.0,,,False,False,False,
157,4,0.0,,,False,False,False,
158,4,0.0,,,False,False,False,
159,4,0.0,,,False,True,True,
160,2,0.0,,,False,False,False,
161,4,0.0,,,False,False,False,
162,2,0.0,,,False,False,False,
163,3,0.0,,,False,False,False,
164,1,0.0,,,False,True,True,
165,4,0.0,,,False,False,False,
166,3,0.0,,,False,False,False,
167,2,0.0,,,False,False,False,
168,4,0.0,,,False,False,False,
169,4,0.0,,,False,False,False,
170,5,0.0,,,False,True,True,
171,4,0.0,,,False,False,False,
172,2,0.0,,,False,False,False,
173,2,0.0,,,False,False,False,
174,3,0.0,,,False,False,False,
175,4,0.0,,,False,False,False,
176,4,0.0,,,False,False,False,
177,2,0.0,,,False,False,False,
178,5,0.0,,,False,False,False,
179,5,0.0,,,False,False,False,
180,3,0.0,,,False,False,False,
181,4,0.0,,,False,False,False,
182,2,0.0,,,False,False,False,
183,5,0.0,,,False,False,False,
184,5,0.0,,,False,False,False,
185,3,0.0,,,False,False,False,
186,4,0.0,,,False,False,False,
187,4,0.0,,,False,False,False,
188,2,0.0,,,False,False,False,
189,2,0.0,,,False,False,False,
190,2,0.0,,,False,False,False,
191,3,0.0,,,False,False,False,
192,5,0.0,,,False,True,True,
193,3,0.0,,,False,False,False,
194,3,0.0,,,False,False,False,
195,3,0.0,,,False,False,False,
196,2,0.0,,,False,False,False,
197,4,0.0,,,False,False,False,
198,2,0.0,,,False,False,False,
199,5,0.0,,,False,False,False,
200,5,0.0,,,False,False,False,
201,4,0.0,,,False,False,False,
202,3,0.0,,,False,False,False,
203,2,0.0,,,False,False,False,
204,3,0.0,,,False,False,False,
205,3,0.0,,,False,False,False,
206,2,0.0,,,False,False,False,
207,3,0.0,,,False,False,False,
208,2,0.0,,,False,True,True,
209,4,0.0,,,False,False,False,
210,2,0.0,,,False,False,False,
211,3,0.0,,,False,False,False,
212,2,0.0,,,False,False,False,
213,2,0.0,,,False,False,False,
214,3,0.0,,,False,False,False,
215,2,0.0,,,False,False,False,
216,4,0.0,,,False,False,False,
217,2,0.0,,,False,False,False,
218,2,0.0,,,False,True,True,
219,4,0.0,,,False,False,False,
220,3,0.0,,,False,False,False,
221,3,0.0,,,False,False,False,
222,3,0.0,,,False,True,True,
223,4,0.0,,,False,False,False,
224,2,0.0,,,False,False,False,
225,2,0.0,,,False,False,False,
226,2,0.0,,,False,False,False,
227,3,0.0,,,False,False,False,
228,3,0.0,,,False,False,False,
229,2,0.0,,,False,False,False,
230,2,0.0,,,False,False,False,
231,4,0.0,,,False,False,False,
232,3,0.0,,,False,False,False,
233,3,0.0,,,False,False,False,
234,4,0.0,,,False,False,False,
235,1,0.0,,,False,True,True,
236,4,0.0,,,False,True,True,
237,4,0.0,,,False,True,True,
238,5,0.0,,,False,False,False,
239,5,0.0,,,False,True,True,
240,2,0.0,,,False,False,False,
241,5,0.0,,,False,True,True,
242,4,0.0,,,False,False,False,
243,2,0.0,,,False,False,False,
244,2,0.0,,,False,False,False,
245,4,0.0,,,False,False,False,
246,4,0.0,,,False,False,False,
247,2,0.0,,,False,False,False,
248,3,0.0,,,False,False,False,
249,3,0.0,,,False,False,False,
250,2,0.0,,,False,False,False,
251,2,0.0,,,False,False,False,
252,5,0.0,,,False,False,False,
253,5,0.0,,,False,False,False,
254,2,0.0,,,False,False,False,
255,4,0.0,,,False,False,False,
256,3,0.0,,,False,False,False,
257,3,0.0,,,False,False,False,
258,2,0.0,,,False,False,False,
259,5,0.0,,,False,False,False,
260,5,0.0,,,False,False,False,
261,4,0.0,,,False,False,False,
262,3,0.0,,,False,False,False,PLAYER_LOSES
